CLNN,MCT_ADM_GDS_APB_CD,CLNN,FINAL_CD,SAA,DOF_TF,DAW_CCD,MCT_N,TIME
7221,24,21663,162,103,0,9,194,262897
7221,5,28884,182,82,1,9,239,377029
7222,6,36110,336,85,1,10,145,731360
7222,45,14444,115,83,0,8,132,313449
7222,16,21666,51,80,0,10,210,420352
7223,7,36115,296,142,2,9,308,594727
7223,13,21669,160,88,0,8,240,302587
7223,18,21669,129,81,0,10,109,602737
7224,35,14448,75,73,0,5,24,378043
7224,14,28896,203,71,2,7,299,679316
7224,16,14448,56,70,0,5,56,332612
7225,3,28900,108,81,2,9,341,326182
7225,21,14450,58,78,0,4,102,352803
7225,41,7225,19,65,1,0,72,186694
7226,35,14452,27,83,1,7,96,165999
7226,11,21678,124,61,1,3,168,188097
7226,34,14452,90,53,1,2,65,288525
7227,10,14454,115,88,0,1,53,298054
7227,20,21681,97,54,1,11,228,175461
7227,40,14454,99,50,1,1,61,397985
7228,14,28912,327,102,1,7,327,560838
7228,9,14456,151,67,1,4,80,208074
7228,26,28912,59,66,0,7,287,538102
7229,5,14458,122,75,2,3,136,98931
7229,7,28916,191,67,1,4,266,592372
7229,1,28916,215,63,2,11,167,390987
7230,1,36150,168,123,2,12,178,716512
7230,5,28920,41,94,3,9,301,455999
7230,3,21690,184,90,1,11,106,275933
7231,18,21693,81,87,1,4,173,394141
7231,27,21693,170,78,0,11,197,397375
7231,25,21693,167,72,1,11,129,564110
7232,4,43392,307,127,1,13,355,811539
7232,25,36160,348,103,2,14,331,901459
7232,14,36160,286,90,0,14,173,541843
7233,10,28932,205,104,2,9,225,431575
7233,25,14466,58,86,1,8,63,381292
7233,14,28932,232,72,0,9,245,642499
7234,3,28936,229,123,1,6,244,558261
7234,6,21702,199,79,1,7,84,388550
7234,13,14468,128,78,0,6,126,329545
7235,5,28940,279,93,3,15,240,578345
7235,3,28940,279,82,2,8,199,759041
7235,30,14470,12,75,1,5,24,417895
7236,20,28944,166,150,1,10,215,391018
7236,14,28944,181,85,1,12,137,487489
7236,1,28944,180,78,2,4,233,399748
7237,12,43422,358,122,4,6,240,541637
7237,39,21711,196,99,2,4,198,481285
7237,31,21711,129,92,0,4,118,411681
7238,17,14476,53,55,0,8,142,322425
7238,5,7238,75,52,0,1,49,15129
7238,19,7238,10,51,0,2,2,181805
7239,24,21717,131,91,0,9,54,561635
7239,32,28956,108,89,2,7,195,593494
7239,3,28956,216,78,1,11,223,585907
7240,7,28960,112,86,0,9,152,488450
7240,5,28960,171,85,3,13,264,285794
7240,3,21720,223,81,0,12,113,426275
7241,9,14482,186,52,2,7,144,213134
7241,18,21723,140,49,1,6,122,188757
7241,12,21723,167,48,1,7,244,200497
7242,8,28968,185,114,0,19,231,375600
7242,4,21726,187,61,0,8,65,301056
7242,12,21726,51,60,1,6,174,331254
7243,13,36215,233,109,1,18,361,413064
7243,10,14486,117,66,0,4,69,78613
7243,4,21729,195,61,2,15,173,356217
7244,4,28976,210,125,0,7,171,410254
7244,18,28976,251,88,1,9,116,243755
7244,1,21732,190,70,1,5,137,540397
7245,22,36225,201,160,1,12,244,382850
7245,21,28980,172,102,2,13,116,444432
7245,28,21735,173,80,0,9,187,575409
7246,31,28984,191,79,0,8,133,545985
7246,10,28984,203,71,1,14,192,387051
7246,42,14492,4,57,0,7,41,62125
7247,13,21741,196,111,2,2,101,339618
7247,39,14494,110,64,0,9,134,308330
7247,15,21741,153,55,1,3,60,351740
7248,17,21744,163,95,0,5,96,350646
7248,26,21744,145,78,1,7,144,239935
7248,16,28992,160,67,1,6,246,527397
7249,37,14498,116,75,1,7,139,166381
7249,1,28996,172,73,0,11,63,687898
7249,21,21747,124,67,1,2,230,505214
7250,11,36250,151,108,2,14,387,628840
7250,37,14500,133,72,0,6,146,160842
7250,4,21750,129,66,1,10,122,234172
7251,40,29004,287,121,3,9,297,497938
7251,16,36255,280,89,2,7,233,501255
7251,12,29004,112,88,4,12,179,371796
7252,11,29008,264,146,2,10,158,536612
7252,4,29008,169,122,0,7,276,500400
7252,3,21756,197,105,0,3,156,76257
7253,8,29012,184,100,0,10,151,581042
7253,2,21759,92,73,0,10,170,206694
7253,15,29012,131,68,2,10,112,533507
7254,46,14508,66,77,1,6,85,112910
7254,21,21762,170,60,1,8,36,360230
7254,7,14508,185,53,0,6,151,442192
7255,15,29020,253,87,2,16,251,200057
7255,25,14510,59,80,0,4,113,392648
7255,13,21765,170,75,0,2,178,269462
7256,9,36280,228,141,0,12,125,613958
7256,36,29024,227,93,2,13,154,237246
7256,32,21768,111,80,1,9,122,444607
7257,22,29028,119,83,1,13,142,422901
7257,15,21771,189,76,1,5,150,312972
7257,11,21771,159,75,1,6,94,325138
7258,9,29032,277,99,0,12,224,600446
7258,25,29032,198,96,0,6,169,382004
7258,21,14516,138,87,0,3,140,420892
7259,10,29036,89,94,1,10,186,330426
7259,5,21777,144,86,0,12,230,156087
7259,21,29036,200,73,2,10,137,561738
7260,14,21780,145,91,0,5,205,303791
7260,9,21780,190,84,1,10,41,429662
7260,21,21780,165,65,2,9,186,295628
7261,15,36305,220,132,1,16,237,651354
7261,9,21783,159,117,0,9,149,312166
7261,8,21783,242,86,0,9,151,279106
7262,15,29048,111,87,2,7,198,439081
7262,3,43572,235,85,4,12,213,929380
7262,22,29048,137,78,0,17,240,382431
7263,3,36315,350,128,4,11,195,774936
7263,1,29052,144,76,0,13,172,749167
7263,15,21789,140,63,1,6,119,288419
7264,22,21792,176,88,1,14,173,572233
7264,7,14528,55,86,0,1,120,417037
7264,1,14528,60,61,2,8,83,248227
7265,3,29060,148,94,1,6,194,652031
7265,4,14530,181,67,2,1,153,257135
7265,19,21795,174,57,1,6,145,366877
7266,1,29064,101,87,1,13,113,410997
7266,28,21798,269,68,1,9,91,469480
7266,38,14532,54,64,2,2,131,238630
7267,13,29068,211,128,2,14,254,416776
7267,15,14534,147,66,0,6,138,122334
7267,46,14534,50,57,0,5,34,298979
7268,2,21804,111,116,0,9,122,285167
7268,29,29072,219,101,2,4,171,547976
7268,11,21804,269,95,1,6,85,284029
7269,33,29076,163,124,2,10,268,130962
7269,7,21807,165,76,1,7,53,286695
7269,1,7269,89,73,0,5,38,96404
7270,3,43620,245,101,3,16,319,787650
7270,8,14540,145,57,0,4,139,290274
7270,57,7270,34,49,1,0,14,77750
7271,10,21813,138,89,1,5,111,272706
7271,6,21813,107,85,0,8,99,177010
7271,0,14542,150,74,1,5,91,265060
7272,12,29088,141,106,2,13,237,498736
7272,8,21816,101,77,1,11,99,461137
7272,32,14544,63,75,0,3,86,104701
7273,11,29092,227,98,2,12,134,588959
7273,1,14546,29,72,1,4,101,89494
7273,2,21819,186,71,2,8,235,461732
7274,26,21822,207,75,1,7,99,278422
7274,17,14548,69,54,0,6,89,410148
7274,22,14548,80,51,0,5,127,217694
7275,34,29100,201,89,1,7,228,471818
7275,11,21825,80,79,3,9,164,107624
7275,17,21825,93,79,0,7,205,468064
7276,20,29104,130,99,0,12,232,409939
7276,25,21828,194,87,0,7,150,580068
7276,36,14552,104,78,1,2,32,297951
7277,14,21831,69,108,1,10,123,243860
7277,42,21831,171,81,1,8,225,393030
7277,1,21831,154,80,0,6,201,408908
7278,19,29112,127,105,1,7,158,436367
7278,18,21834,242,89,1,2,180,476280
7278,14,21834,135,81,0,5,147,671542
7279,8,43674,292,168,2,12,242,1010162
7279,5,36395,276,64,2,13,343,727160
7279,11,29116,138,61,2,12,186,451724
7280,6,29120,167,86,1,10,177,519458
7280,31,14560,167,79,0,5,74,200419
7280,14,14560,88,76,2,7,47,159802
7281,15,21843,227,86,0,13,242,423149
7281,6,21843,108,76,0,4,148,423175
7281,5,14562,98,60,1,5,102,101547
7282,8,29128,176,97,0,16,217,737445
7282,7,29128,141,91,3,8,263,512840
7282,35,14564,68,83,0,8,96,314499
7283,24,43698,317,139,3,7,316,431079
7283,40,29132,234,91,1,7,189,585347
7283,22,21849,135,72,2,9,190,480427
7284,10,21852,143,90,0,7,125,310538
7284,11,21852,233,69,0,9,193,328534
7284,12,14568,162,62,0,9,152,365458
7285,20,21855,112,105,0,9,81,249032
7285,34,14570,72,84,1,7,103,204894
7285,18,14570,61,71,0,8,116,110349
7286,4,21858,150,85,1,6,151,302080
7286,8,36430,201,79,2,10,315,603211
7286,29,14572,62,77,1,4,72,121301
7287,18,36435,333,123,0,16,201,733327
7287,5,21861,130,68,1,13,144,487000
7287,17,14574,43,53,0,6,89,372566
7288,1,36440,229,105,0,13,230,454604
7288,15,36440,327,93,1,6,271,393989
7288,25,21864,122,84,1,7,154,304836
7289,3,14578,157,83,1,4,110,299839
7289,10,21867,107,70,0,11,136,165347
7289,27,21867,139,68,0,11,170,380330
7290,15,36450,205,114,2,10,257,587803
7290,2,29160,191,61,2,3,198,472616
7290,24,21870,59,58,1,2,140,285866
7291,13,36455,281,129,2,13,258,649867
7291,6,29164,231,109,2,4,248,502749
7291,8,29164,267,83,1,8,231,533711
7292,23,21876,74,165,1,6,168,303793
7292,48,14584,22,76,0,6,131,260006
7292,19,14584,111,69,0,2,162,122159
7293,4,21879,172,123,1,9,165,416483
7293,23,29172,178,75,2,9,98,523019
7293,27,29172,186,67,0,3,211,310396
7294,11,21882,107,79,2,6,180,149766
7294,3,21882,39,78,1,9,159,244030
7294,27,29176,160,68,0,9,158,528719
7295,48,14590,90,80,1,8,128,173550
7295,5,21885,131,49,1,8,100,335478
7295,19,21885,184,46,0,7,87,306254
7296,25,21888,68,79,1,7,222,138197
7296,9,29184,244,75,3,7,165,579467
7296,6,14592,63,72,1,5,62,238157
7297,18,29188,143,95,1,6,291,605890
7297,12,14594,75,70,0,10,166,293702
7297,49,21891,105,65,0,8,178,195626
7298,12,29192,154,97,1,10,278,620924
7298,1,29192,257,89,2,8,153,538062
7298,31,29192,246,77,2,12,146,541606
7299,25,21897,247,80,2,11,210,310265
7299,26,14598,34,67,1,7,146,98761
7299,18,21897,176,62,1,10,106,415171
7300,15,36500,337,113,3,16,248,797113
7300,14,36500,261,103,1,18,288,691225
7300,20,21900,145,86,1,5,205,331944
7301,2,36505,351,103,2,15,261,595286
7301,29,36505,239,87,4,9,178,765771
7301,27,21903,189,73,1,7,73,485489
7302,20,7302,40,61,0,3,18,212370
7302,7,21906,77,60,1,4,228,520808
7302,44,21906,131,53,0,7,173,377882
7303,15,14606,45,71,1,4,94,326399
7303,24,29212,245,69,1,9,208,486490
7303,13,21909,137,68,0,6,175,511068
7304,7,51128,400,146,2,17,387,806141
7304,4,36520,177,101,1,17,289,850091
7304,21,29216,304,96,3,12,232,396003
7305,9,36525,363,97,1,10,280,580414
7305,44,21915,130,75,2,7,150,318810
7305,23,21915,143,71,0,3,98,305377
7306,4,36530,338,86,1,5,207,664800
7306,15,14612,147,79,0,9,114,124749
7306,17,29224,173,76,1,5,262,368961
7307,2,43842,322,127,2,15,394,967273
7307,12,14614,108,56,2,4,22,305689
7307,34,14614,180,56,1,8,24,160046
7308,20,29232,134,115,2,14,189,480034
7308,14,29232,105,108,0,13,176,519743
7308,2,29232,184,68,1,15,222,769910
7309,2,29236,214,118,2,9,226,379261
7309,19,29236,136,104,0,15,194,586083
7309,51,14618,127,81,0,6,147,303664
7310,21,21930,124,84,1,13,139,421753
7310,26,14620,23,75,1,8,72,273153
7310,10,14620,90,74,2,6,105,184854
7311,5,43866,297,115,2,15,379,928401
7311,27,29244,244,69,0,6,297,570379
7311,17,21933,127,63,0,6,223,422467
7312,6,36560,289,86,2,17,252,718199
7312,46,14624,93,60,1,7,104,257217
7312,5,14624,148,55,1,2,139,202250
7313,4,29252,206,93,1,7,158,251941
7313,46,7313,27,66,1,5,83,160365
7313,23,21939,195,63,0,7,227,421701
7314,17,21942,136,119,2,0,197,285226
7314,12,29256,192,89,1,8,298,267604
7314,48,14628,28,82,1,8,65,176488
7315,17,29260,192,90,0,17,121,486159
7315,1,21945,169,85,1,0,204,247021
7315,31,29260,104,80,0,18,155,328784
7316,2,36580,273,96,1,13,255,564334
7316,17,21948,97,77,1,4,101,161451
7316,5,29264,187,75,1,13,164,587224
7317,13,36585,215,114,1,7,246,871927
7317,12,29268,230,102,1,9,230,351001
7317,18,14634,52,75,1,2,22,362370
7318,10,21954,233,86,1,5,139,510540
7318,6,14636,146,82,0,7,102,127153
7318,17,21954,152,80,2,12,273,157376
7319,4,29276,317,148,0,12,251,775676
7319,5,29276,208,99,1,12,243,162032
7319,26,14638,44,67,0,3,86,105480
7320,19,21960,184,91,2,9,131,427624
7320,28,21960,222,89,2,5,102,524642
7320,7,21960,150,78,0,7,117,285681
7321,5,43926,214,108,0,15,246,795932
7321,29,29284,295,107,1,6,196,530959
7321,14,21963,98,96,1,9,191,425997
7322,4,36610,237,99,2,11,263,829890
7322,47,21966,100,67,1,10,123,77071
7322,7,14644,43,59,0,8,147,139275
7323,4,29292,285,142,0,19,139,288589
7323,2,43938,259,124,3,14,209,637492
7323,1,36615,174,121,2,14,240,703702
7324,3,29296,232,140,2,10,224,378062
7324,6,21972,15,103,0,5,155,385069
7324,41,7324,30,75,0,4,50,73893
7325,4,29300,237,124,1,10,146,311905
7325,5,36625,214,116,2,9,294,743789
7325,9,36625,335,106,1,11,357,769268
7326,4,29304,159,121,1,14,200,403965
7326,6,29304,164,121,1,12,243,524310
7326,20,29304,119,93,2,10,200,434621
7327,7,21981,122,70,0,9,116,425425
7327,8,29308,250,65,3,8,167,582598
7327,25,21981,67,65,2,10,188,258775
7328,17,21984,196,74,0,3,100,71069
7328,27,14656,50,68,1,3,114,190689
7328,14,21984,146,65,2,12,179,370271
7329,26,21987,144,82,2,7,166,348098
7329,6,21987,225,67,1,7,178,284867
7329,24,14658,131,66,0,8,116,393664
7330,8,36650,294,155,1,16,255,699208
7330,12,29320,202,68,1,13,148,517281
7330,22,7330,9,62,0,0,62,199497
7331,24,21993,123,79,0,8,260,430960
7331,37,36655,226,72,2,14,180,541710
7331,7,21993,191,62,0,2,175,210565
7332,3,21996,119,111,2,4,122,547271
7332,10,21996,225,104,0,10,177,430349
7332,20,36660,255,99,3,12,302,616927
7333,4,14666,46,68,0,7,127,305326
7333,38,14666,82,65,1,5,63,144540
7333,21,14666,138,63,2,4,64,285110
7334,12,36670,193,125,2,14,332,609904
7334,15,22002,186,91,1,10,109,362005
7334,10,14668,88,85,0,3,171,197747
7335,29,22005,204,115,1,9,167,208654
7335,11,29340,224,98,0,11,295,371208
7335,3,29340,251,97,0,10,166,681615
7336,18,44016,364,105,4,18,182,748765
7336,10,22008,216,85,0,7,240,357051
7336,21,14672,181,65,1,8,113,322187
7337,8,29348,275,120,3,9,223,529123
7337,17,29348,148,119,1,15,137,484190
7337,35,14674,125,72,0,4,117,271195
7338,29,36690,184,106,3,12,222,720680
7338,25,36690,159,104,0,18,224,793259
7338,6,22014,100,93,1,7,172,337243
7339,11,36695,209,115,3,14,254,579379
7339,17,36695,210,94,2,9,294,232967
7339,31,14678,164,71,0,4,27,367938
7340,13,29360,226,63,1,11,223,405642
7340,17,14680,181,52,0,1,30,330406
7340,19,14680,40,52,0,5,103,304862
7341,8,22023,172,107,0,3,29,223798
7341,14,29364,164,88,0,12,160,375473
7341,5,22023,108,82,1,4,84,532834
7342,11,22026,188,107,1,4,152,259609
7342,14,22026,162,99,0,9,221,464149
7342,8,29368,247,98,1,11,177,453640
7343,23,29372,109,105,1,9,200,288531
7343,11,22029,123,96,0,7,201,211575
7343,5,29372,163,79,1,10,130,428170
7344,11,36720,175,160,2,11,214,579470
7344,30,29376,146,135,2,15,231,491253
7344,17,36720,222,105,2,17,241,427911
7345,17,22035,250,78,0,9,153,351812
7345,1,22035,112,63,1,2,242,308664
7345,2,7345,69,51,1,5,6,36813
7346,11,36730,218,83,1,7,109,649611
7346,29,29384,284,61,0,10,280,307170
7346,23,7346,29,58,1,2,6,119862
7347,11,14694,168,78,0,4,103,187681
7347,7,22041,199,55,2,9,195,276220
7347,0,14694,92,49,1,7,93,336010
7348,6,29392,193,87,0,11,197,462191
7348,5,36740,210,81,1,11,157,559333
7348,16,22044,197,72,1,1,106,504966
7349,6,51443,325,96,3,14,508,1196909
7349,21,29396,328,90,0,6,175,571926
7349,35,22047,154,88,0,6,157,528128
7350,12,36750,178,134,3,20,259,501537
7350,7,14700,39,106,0,4,89,125399
7350,3,36750,243,87,0,9,226,719637
7351,14,22053,25,75,1,5,140,307423
7351,38,22053,129,74,0,6,116,380059
7351,0,22053,142,72,0,10,185,355656
7352,13,22056,152,97,0,5,195,420875
7352,28,22056,265,81,2,5,204,504048
7352,27,29408,219,79,1,3,226,538438
7353,8,14706,66,86,0,0,86,216778
7353,13,22059,167,67,0,11,177,405417
7353,14,14706,32,65,1,10,137,256036
7354,16,14708,128,71,1,7,86,457922
7354,14,29416,135,67,0,15,240,465390
7354,36,22062,149,65,1,8,104,568745
7355,10,22065,134,113,0,11,134,417014
7355,9,29420,223,99,1,13,290,336568
7355,27,22065,198,97,1,6,94,408407
7356,14,29424,136,132,1,11,363,477617
7356,13,29424,182,92,1,12,312,224470
7356,1,36780,222,78,1,12,126,613968
7357,6,36785,214,118,1,11,280,334890
7357,12,22071,267,70,2,8,111,246945
7357,30,29428,53,70,2,5,256,355447
7358,5,14716,130,96,0,4,114,212383
7358,11,22074,106,78,0,5,209,581211
7358,28,29432,101,77,2,11,144,395385
7359,20,14718,143,74,1,5,49,213547
7359,56,14718,101,69,1,8,39,212975
7359,36,22077,89,66,0,5,92,375529
7360,2,36800,388,71,1,18,230,696855
7360,26,14720,120,69,1,2,149,135425
7360,48,22080,112,63,0,10,96,470589
7361,2,29444,137,101,1,9,242,187423
7361,55,14722,23,68,2,9,92,231045
7361,7,29444,190,60,0,11,211,530315
7362,19,22086,97,95,1,8,115,458144
7362,33,14724,160,82,0,7,108,333350
7362,32,29448,224,76,2,11,173,400025
7363,4,29452,94,88,2,12,241,700165
7363,56,22089,104,88,0,9,214,556809
7363,6,22089,113,76,1,6,161,539249
7364,13,22092,56,100,0,6,40,285682
7364,28,29456,227,97,1,13,191,461148
7364,16,29456,226,70,1,10,252,353371
7365,22,22095,162,89,0,5,139,421280
7365,13,29460,168,79,2,8,158,535211
7365,25,22095,111,78,1,2,128,346838
7366,29,29464,150,125,0,9,229,795924
7366,10,14732,76,75,0,6,98,261690
7366,16,14732,137,56,0,3,75,273464
7367,23,51569,312,145,1,19,367,623866
7367,49,29468,219,115,2,8,132,651427
7367,1,22101,119,101,0,8,213,301153
7368,35,14736,36,98,2,4,70,164183
7368,2,29472,279,90,1,14,161,244158
7368,26,22104,159,80,0,7,82,287455
7369,14,14738,101,65,1,8,86,209516
7369,7,14738,97,60,0,3,135,263564
7369,15,29476,195,56,2,13,172,613439
7370,4,36850,142,105,1,10,122,503569
7370,5,22110,202,68,2,5,158,447065
7370,1,14740,91,63,0,5,121,214924
7371,11,22113,231,90,0,9,241,520828
7371,3,22113,180,76,3,10,173,585116
7371,10,29484,169,72,0,10,196,525993
7372,8,36860,80,143,2,11,313,626514
7372,26,22116,182,92,1,6,53,158022
7372,20,29488,209,87,0,12,108,413337
7373,14,22119,57,112,0,2,143,362755
7373,8,36865,295,92,1,17,198,784730
7373,26,14746,125,65,0,6,14,248140
7374,2,29496,152,90,1,10,129,451619
7374,29,22122,50,81,0,10,131,216951
7374,10,14748,153,76,1,6,111,388325
7375,7,36875,331,141,1,9,364,659129
7375,13,14750,176,73,1,4,153,319606
7375,22,29500,240,67,0,12,167,467749
7376,10,22128,220,86,2,4,102,398060
7376,12,22128,57,75,2,10,180,469815
7376,5,36880,229,64,2,20,204,417979
7377,20,29508,192,74,0,7,129,440202
7377,14,29508,220,72,2,8,211,329528
7377,26,14754,158,55,0,6,79,175527
7378,12,22134,171,64,1,10,201,227284
7378,25,29512,120,62,1,12,197,542509
7378,16,7378,21,58,0,4,98,179279
7379,37,36895,252,140,3,5,193,536989
7379,15,36895,264,108,0,9,168,587207
7379,13,22137,195,73,1,7,158,467408
7380,13,22140,236,81,2,8,270,245862
7380,34,7380,25,63,0,2,51,201560
7380,26,22140,144,62,2,10,166,131536
7381,11,36905,139,104,0,10,323,690214
7381,33,22143,93,98,1,14,143,282206
7381,9,22143,130,94,3,7,186,458233
7382,9,29528,212,128,3,11,202,543989
7382,17,36910,166,90,3,15,194,301157
7382,33,22146,142,83,1,8,190,440862
7383,45,29532,247,124,2,12,127,626290
7383,11,36915,317,95,1,13,228,823738
7383,13,29532,101,63,0,8,178,291659
7384,0,14768,101,90,1,4,158,111724
7384,3,29536,128,83,0,4,255,559890
7384,44,14768,11,76,1,7,46,302531
7385,5,29540,168,96,0,9,247,593735
7385,8,22155,182,90,2,12,43,266050
7385,3,29540,155,83,3,8,233,503454
7386,14,29544,252,96,0,15,142,497372
7386,26,22158,43,87,2,8,158,364890
7386,28,22158,182,86,1,6,158,432651
7387,16,22161,196,70,1,8,197,368818
7387,5,22161,121,55,0,6,96,302271
7387,36,14774,66,41,0,3,69,54758
7388,3,22164,256,109,1,7,184,381056
7388,1,29552,265,103,1,13,132,390563
7388,23,22164,190,87,2,8,142,422975
7389,47,22167,99,96,1,7,160,405747
7389,4,29556,159,86,1,10,243,601699
7389,7,14778,46,69,0,3,74,190537
7390,12,36950,256,96,0,7,125,658222
7390,10,29560,221,89,0,12,214,415592
7390,27,22170,52,87,1,4,140,486751
7391,15,22173,149,108,1,11,139,362590
7391,42,14782,119,77,0,5,137,187431
7391,14,14782,98,75,0,7,82,321145
7392,4,22176,132,68,0,5,131,508325
7392,14,29568,209,63,0,9,211,551774
7392,0,29568,180,62,1,13,153,218720
7393,6,22179,55,71,1,8,113,84094
7393,24,14786,115,71,1,8,109,274955
7393,15,22179,168,69,0,4,127,271887
7394,6,29576,204,122,1,10,175,441055
7394,3,36970,365,83,3,15,166,458609
7394,20,29576,166,66,1,6,150,667811
7395,25,44370,247,87,2,14,313,954719
7395,2,29580,237,72,1,14,157,572792
7395,17,14790,137,65,1,2,31,253968
7396,5,36980,366,102,1,13,307,496117
7396,41,22188,174,88,1,10,118,384856
7396,9,14792,56,81,0,4,80,309370
7397,26,22191,154,119,1,7,153,421240
7397,36,29588,229,117,1,5,341,532466
7397,14,29588,239,101,2,2,187,503053
7398,1,29592,209,101,2,12,214,603847
7398,14,22194,117,82,1,7,196,379118
7398,12,44388,258,81,3,18,399,550924
7399,42,29596,205,125,1,13,144,651377
7399,33,14798,94,108,0,5,106,214257
7399,1,7399,62,57,0,4,31,202011
7400,23,37000,125,94,3,18,234,588474
7400,4,29600,200,80,0,12,224,184053
7400,14,22200,98,68,0,4,75,558536
7401,13,37005,235,80,1,12,163,455147
7401,30,14802,104,61,2,5,89,411341
7401,27,14802,56,60,0,1,113,289363
7402,46,29608,168,111,1,9,175,253886
7402,20,37010,224,91,0,12,383,425392
7402,50,7402,3,80,0,4,25,85266
7403,24,22209,165,81,1,7,68,436680
7403,16,22209,185,73,1,8,117,130898
7403,1,29612,149,67,1,7,273,252880
7404,2,37020,299,129,0,7,281,425251
7404,20,29616,196,101,1,4,198,641128
7404,9,14808,151,54,0,7,68,62869
7405,4,22215,77,79,2,13,118,249325
7405,7,14810,46,76,1,3,103,187194
7405,5,22215,142,70,1,9,124,451266
7406,11,14812,64,83,1,7,96,247386
7406,23,22218,127,72,1,9,107,423891
7406,2,22218,144,62,3,8,198,278723
7407,11,37035,277,134,2,5,237,996519
7407,10,37035,329,133,1,10,291,807141
7407,13,22221,70,92,2,6,190,316287
7408,1,29632,216,123,2,12,225,723028
7408,26,14816,151,99,2,10,29,116193
7408,5,22224,254,77,0,10,82,376421
7409,9,37045,144,119,2,10,278,818759
7409,14,37045,186,86,0,11,242,747560
7409,29,14818,141,68,1,4,166,452975
7410,0,22230,133,87,1,6,139,343085
7410,24,44460,290,87,0,20,282,681669
7410,48,22230,117,68,0,3,168,450809
7411,3,44466,327,108,0,10,422,530168
7411,21,14822,180,50,1,5,68,230432
7411,5,14822,52,46,0,1,154,231912
7412,14,22236,139,100,0,11,165,243725
7412,8,22236,111,81,1,11,132,319161
7412,4,44472,215,80,1,21,273,545276
7413,13,22239,40,101,1,3,87,599431
7413,19,29652,177,80,2,16,127,295620
7413,36,14826,71,74,2,9,59,127631
7414,23,29656,194,96,1,10,90,342272
7414,36,29656,227,87,1,7,231,350572
7414,51,14828,146,78,0,1,65,176394
7415,21,29660,228,84,2,8,197,424171
7415,13,29660,175,77,0,9,152,484490
7415,5,22245,206,62,0,12,214,369141
7416,14,22248,173,88,0,11,131,378708
7416,7,29664,210,80,1,12,176,365654
7416,24,22248,156,67,1,8,127,297963
7417,15,22251,200,84,1,6,187,317666
7417,10,29668,181,67,0,12,207,527221
7417,33,14834,51,62,1,4,96,222269
7418,9,29672,200,116,1,11,164,554371
7418,68,22254,195,106,0,4,82,222121
7418,31,22254,128,93,1,11,197,411264
7419,19,29676,214,128,0,11,185,379263
7419,33,22257,160,89,0,9,131,505537
7419,44,14838,74,69,0,0,122,205970
7420,14,14840,81,78,0,7,57,85917
7420,1,14840,59,69,1,5,111,233659
7420,7,22260,99,66,0,3,159,402464
7421,10,37105,258,132,1,5,241,593042
7421,6,14842,170,80,0,7,65,357904
7421,46,14842,103,69,0,3,174,146550
7422,31,14844,120,73,0,5,31,337167
7422,47,22266,139,71,1,6,158,445083
7422,14,29688,165,68,3,4,104,716774
7423,8,29692,268,152,0,10,235,490299
7423,20,22269,242,79,2,6,169,510005
7423,16,22269,189,76,1,9,110,491848
7424,14,37120,120,120,2,10,193,640003
7424,4,22272,175,88,0,4,136,289530
7424,5,29696,110,66,1,9,289,358907
7425,27,14850,133,54,1,5,113,267818
7425,7,29700,133,51,0,8,222,533937
7425,31,7425,8,49,0,4,89,108554
7426,33,7426,15,67,0,3,12,107839
7426,15,22278,87,63,1,10,136,433484
7426,23,14852,131,62,0,6,23,389102
7427,8,37135,205,129,2,8,282,1006907
7427,44,14854,170,98,0,7,122,326508
7427,17,37135,228,85,0,15,207,830773
7428,11,22284,232,107,0,11,268,433782
7428,32,29712,133,88,2,13,286,319316
7428,40,14856,101,66,1,5,141,284435
7429,15,22287,142,94,1,9,118,473441
7429,13,44574,262,91,3,19,250,704401
7429,12,22287,50,70,2,9,46,413323
7430,14,22290,115,96,1,7,162,206337
7430,11,14860,136,87,0,3,73,90837
7430,21,14860,93,75,0,1,115,157558
7431,23,37155,314,106,0,17,275,487386
7431,7,22293,96,84,1,5,86,452323
7431,24,14862,137,70,0,4,128,140274
7432,18,22296,54,87,1,7,248,220333
7432,27,37160,346,76,0,10,189,695342
7432,13,29728,184,63,1,8,184,275988
7433,5,22299,78,63,1,4,149,451061
7433,73,14866,16,54,0,4,117,221068
7433,58,7433,0,53,0,2,32,23239
7434,24,29736,250,114,1,10,233,289628
7434,6,37170,200,74,4,14,193,715244
7434,23,22302,57,69,0,5,39,278702
7435,8,22305,58,113,0,3,31,356771
7435,17,37175,354,108,2,15,349,827358
7435,12,29740,190,81,1,11,274,567141
7436,48,22308,174,86,0,2,45,242177
7436,37,22308,127,84,1,1,152,470209
7436,21,22308,81,78,1,3,213,271925
7437,2,22311,132,76,1,5,180,320462
7437,30,29748,159,73,2,16,280,417901
7437,6,29748,286,61,1,9,279,532367
7438,13,37190,312,108,0,5,228,897064
7438,21,29752,205,106,1,4,304,485828
7438,25,22314,147,99,1,9,214,263819
7439,0,22317,177,128,0,9,127,252583
7439,10,29756,267,102,0,13,292,339261
7439,23,29756,194,92,3,8,186,256274
7440,25,29760,185,109,2,9,224,488377
7440,10,22320,16,83,1,6,72,249063
7440,15,22320,101,68,0,9,89,320554
7441,8,14882,129,77,2,2,95,350339
7441,0,14882,59,75,0,6,128,322581
7441,30,14882,13,67,0,7,131,157079
7442,7,29768,93,104,1,10,158,220305
